Time;Module;Class;Name;Value;Unit
18:16:36;hx711:031;D;HX711 Value;604305;raw
18:16:37;hx711:031;D;HX711 Value;604378;raw
18:16:38;hx711:031;D;HX711 Value;604280;raw
18:16:39;hx711:031;D;HX711 Value;604291;raw
18:16:40;hx711:031;D;HX711 Value;604345;raw
18:16:41;hx711:031;D;HX711 Value;604306;raw
18:16:42;hx711:031;D;HX711 Value;604348;raw
18:16:43;hx711:031;D;HX711 Value;604356;raw
18:16:44;hx711:031;D;HX711 Value;604383;raw
18:16:45;hx711:031;D;HX711 Value;604360;raw
18:16:46;hx711:031;D;HX711 Value;604372;raw
18:16:47;hx711:031;D;HX711 Value;604379;raw
18:16:48;hx711:031;D;HX711 Value;604404;raw
18:16:49;hx711:031;D;HX711 Value;604370;raw
18:16:50;hx711:031;D;HX711 Value;604378;raw
18:16:51;hx711:031;D;HX711 Value;604360;raw
18:16:52;hx711:031;D;HX711 Value;604431;raw
18:16:53;hx711:031;D;HX711 Value;604426;raw
18:16:54;hx711:031;D;HX711 Value;604417;raw
18:16:55;hx711:031;D;HX711 Value;604439;raw
18:16:56;hx711:031;D;HX711 Value;604431;raw
18:16:57;hx711:031;D;HX711 Value;604421;raw
18:16:58;hx711:031;D;HX711 Value;604454;raw
18:16:59;hx711:031;D;HX711 Value;604443;raw
18:17:00;hx711:031;D;HX711 Value;604435;raw
18:17:01;hx711:031;D;HX711 Value;604449;raw
18:17:02;hx711:031;D;HX711 Value;604516;raw
18:17:03;hx711:031;D;HX711 Value;604498;raw
18:17:04;hx711:031;D;HX711 Value;604491;raw
18:17:05;hx711:031;D;HX711 Value;604542;raw
18:17:06;hx711:031;D;HX711 Value;604515;raw
18:17:07;hx711:031;D;HX711 Value;604490;raw
18:17:08;hx711:031;D;HX711 Value;604531;raw
18:17:09;hx711:031;D;HX711 Value;604502;raw
18:17:10;hx711:031;D;HX711 Value;604537;raw
18:17:11;hx711:031;D;HX711 Value;604535;raw
18:17:12;hx711:031;D;HX711 Value;604591;raw
18:17:13;hx711:031;D;HX711 Value;604538;raw
18:17:14;hx711:031;D;HX711 Value;604515;raw
18:17:15;hx711:031;D;HX711 Value;604534;raw
18:17:16;hx711:031;D;HX711 Value;604606;raw
18:17:17;hx711:031;D;HX711 Value;604562;raw
18:17:18;hx711:031;D;HX711 Value;604556;raw
18:17:19;hx711:031;D;HX711 Value;604590;raw
18:17:20;hx711:031;D;HX711 Value;604581;raw
18:17:21;hx711:031;D;HX711 Value;604579;raw
18:17:22;hx711:031;D;HX711 Value;604620;raw
18:17:23;hx711:031;D;HX711 Value;604601;raw
18:17:24;hx711:031;D;HX711 Value;604625;raw
18:17:25;hx711:031;D;HX711 Value;604620;raw
18:17:26;hx711:031;D;HX711 Value;604581;raw
18:17:27;hx711:031;D;HX711 Value;604642;raw
18:17:28;hx711:031;D;HX711 Value;604636;raw
18:17:29;hx711:031;D;HX711 Value;604650;raw
18:17:30;hx711:031;D;HX711 Value;604658;raw
18:17:31;hx711:031;D;HX711 Value;604619;raw
18:17:32;hx711:031;D;HX711 Value;604677;raw
18:17:33;hx711:031;D;HX711 Value;604656;raw
18:17:34;hx711:031;D;HX711 Value;604664;raw
18:17:35;hx711:031;D;HX711 Value;604635;raw
18:17:36;hx711:031;D;HX711 Value;604662;raw
18:17:37;hx711:031;D;HX711 Value;604652;raw
18:17:38;hx711:031;D;HX711 Value;604685;raw
18:17:39;hx711:031;D;HX711 Value;604707;raw
18:17:40;hx711:031;D;HX711 Value;604729;raw
18:17:41;hx711:031;D;HX711 Value;604673;raw
18:17:42;hx711:031;D;HX711 Value;604722;raw
18:17:43;hx711:031;D;HX711 Value;604722;raw
18:17:44;hx711:031;D;HX711 Value;604700;raw
18:17:45;hx711:031;D;HX711 Value;604709;raw
18:17:46;hx711:031;D;HX711 Value;604720;raw
18:17:47;hx711:031;D;HX711 Value;604754;raw
18:17:48;hx711:031;D;HX711 Value;604757;raw
18:17:49;hx711:031;D;HX711 Value;604794;raw
18:17:50;hx711:031;D;HX711 Value;604740;raw
18:17:51;hx711:031;D;HX711 Value;604748;raw
18:17:52;hx711:031;D;HX711 Value;604746;raw
18:17:53;hx711:031;D;HX711 Value;604700;raw
18:17:54;hx711:031;D;HX711 Value;604746;raw
18:17:55;hx711:031;D;HX711 Value;604736;raw
18:17:56;hx711:031;D;HX711 Value;604720;raw
18:17:57;hx711:031;D;HX711 Value;604783;raw
18:17:58;hx711:031;D;HX711 Value;604776;raw
18:17:59;hx711:031;D;HX711 Value;604764;raw
